Priority,Group,Item ID,Item Name,Effort,Files,Description
1,G1,Item 3,Remove duplicate Enterprise Roadmap from Help tab,XS,admin/index.html,"Delete the Enterprise Roadmap block from #docs-panel-help (~lines 1942-2040). System tab has the authoritative version with status markers. Add one sentence in Help tab directing users to System tab for roadmap."
2,D1,Item 13,Pref centre styling sidebar overflow fix,XS,admin/index.html,"In #tab-pfsettings left-side styling panel, add overflow-y:auto; flex:1; min-height:0 so the container scrolls rather than clipping when content exceeds viewport height."
3,C1,Item 17,Field modal fullscreen + disable backdrop close,S,admin/index.html,"Add fullscreen toggle button to #field-modal .modal-head (toggles modal-fullscreen class). CSS: width:100vw; height:100vh; border-radius:0. Remove backdrop-click event listener (~line 5430) — X button and Cancel are sole close paths."
4,B1,Item 2,Drum picker height control,S,"server.js, admin/index.html","Add number input modal-drum-height (default 120, min 80, max 300, step 40) to year/yearmonth/yearmonthday modal. sliderPickerCSS(): change fixed height:120px to height:var(--sf-drum-h,120px). renderFormField picker: inject --sf-drum-h CSS var from field config."
5,B3,Item 19,Submit disclaimer checkbox option,S,"server.js, admin/index.html","Settings: toggle Require checkbox tick (cfg.site.disclaimerCheckbox) + optional label text. renderPublicPage/embed: when true, render <label class=sf-disclaimer-chk><input type=checkbox required> + gdprHtml instead of plain div. Apply same to embed page."
6,A6,Item 18,Multi-select min/max limits,S,"server.js, admin/index.html","Admin modal: show modal-isel-min-sel + modal-isel-max-sel number inputs when multi is checked. saveField saves iselMinSel/iselMaxSel (0 = no limit). renderFormField: data-min-sel/data-max-sel on wrap div. sliderPickerJS: enforce in tile click handler."
7,F1,Item 4,Sortable subscriber columns,S,"server.js, admin/index.html","<th> headers get data-sort attributes. Click handler tracks column + direction, re-calls loadSubscribers() with ?sort=email&dir=asc. Server: read sort+dir params, allowlist valid columns (email/status/subscribed_at), append ORDER BY to SQL. Active header shows arrow icon."
8,A1,Item 7,Colour pickers to brand-only named dropdown,M,admin/index.html,"Replace all three <input type=color> + swatch rows (modal-isel-color, modal-isel-tilebg, modal-isel-tileborder) with <select> elements. Options built from cfg.design.brandColors (name + color) plus auto-named palette entries (Primary/Accent/Background/Text/Button). Repurpose _renderIselColorSwatches() → _buildIselColorDropdowns()."
9,A5,Item 9,Tile field alignment control,M,"server.js, admin/index.html","Admin modal: <select id=modal-isel-align> with Left/Centre/Right options. saveField saves iselAlign. renderFormField: pass --sf-isel-align (flex-start/center/flex-end) as CSS var. sliderPickerCSS: .sf-field--isel .sf-isel-wrap{justify-content:var(--sf-isel-align,flex-start);}"
10,A4,Item 8,Fill-width tile size option,M,"server.js, admin/index.html","Admin modal: <select id=modal-isel-size-mode> Fixed px / Fill width next to tile size input. Saves iselSizeMode. renderFormField: when fill, omit --sf-isel-size, add class sf-isel-fill-w. sliderPickerCSS: .sf-isel-fill-w .sf-isel-track{display:flex;width:100%;} .sf-isel-fill-w .sf-isel-tile{flex:1;min-width:0;}. Grid mode: grid-template-columns:repeat(var(--sf-isel-cols,4),1fr)."
11,A2,Item 5,Hide scrollbar + side arrow buttons for horizontal scroll,M,"server.js, admin/index.html","sliderPickerCSS: add scrollbar-width:none and ::-webkit-scrollbar{display:none} to .sf-field--isel .sf-isel-wrap. CSS .sf-isel-arrow: absolutely-positioned left/right buttons. renderFormField scroll layout: wrap track in relative container with <button data-isel-arrow=left|right>. sliderPickerJS: delegated click scrolls wrap by tileSize+gap px; hide/show arrows on scroll."
12,B2,Item 10,Submit button visible and editable in form builder,M,admin/index.html,"renderFieldList(): append non-deletable Submit button row at bottom of form section field list with edit pencil. Edit opens modal with button text + background colour (brand dropdown → cfg.design.btnBg) + text colour + border width/style/colour/radius. Changes saved via existing saveConfig()."
13,D2,Item 11,Email designer colour selector fix + brand dropdown,M,admin/index.html,"Confirm openEmailTemplateModal() passes current form cfg.design to colour builder functions (fix stale reference). Replace native <input type=color> pickers in email toolbar (bg/text/heading/card) with brand-only named <select> dropdowns — same pattern as A1."
14,D3,Item 12,Unsubscribe page redesign,M,server.js,"Route GET /:slug/unsubscribe/:token: after finding subscriber, query all active subscriptions for that email (SELECT form_slug FROM subscribers WHERE email=$1 AND status=active). renderUnsubscribePage redesign: full template styling (card bg/button colours/typography), list all active subscriptions per-row with individual unsubscribe button, Unsubscribe from all button (submit style), Delete all my data button (red bg + contrast font)."
15,A3,Item 6,Text/number as icon type with font picker,M,"server.js, admin/index.html","Admin per-tile row: add text to icon type select; text input for character/string + font picker (Google Font name OR custom uploaded font select). Store as iconType:text + icon + iconFont. renderFormField: <span class=sf-isel-txt style=font-family:iconFont>icon</span>. sliderPickerCSS: .sf-isel-txt{font-size:calc(var(--sf-isel-size,64px)*0.38);}. Public+embed head: conditionally inject Google Font link per unique font used."
16,E1,Item 14,Multi-file upload + drag-and-drop + duplicate detection,M,"server.js, admin/index.html","Admin media panel: <input type=file multiple> + drag-and-drop zone (dragover/drop events) + per-file progress chips. Pre-upload: GET /api/admin/media/check-dup?name=&scope=&slug= queries original_name in media table; if exists prompt use existing. Server: extend multer to upload.array(files,20) and loop through req.files."
17,C2,Item 1,Custom help sections with WYSIWYG editor,L,admin/index.html,"Help tab #docs-panel-help: add Your Notes section at top with + Add section button. Each section: title input + WYSIWYG editor (reuse existing contenteditable pattern) + delete button. Stored as cfg.site.helpSections [{id,title,html}]. Saved via saveConfig(). Admin-only — not visible to public form visitors."
18,E2,Item 15,Client-side image editor (Canvas API),L,admin/index.html,"Edit button per media item → modal with canvas editor. Controls: rotate (90° steps), crop (draggable selection overlay), resize (width × height with aspect-ratio lock). Save as copy: canvas.toBlob() → upload via existing upload route as new media item. Scope: JPEG/PNG/WebP only. No server changes needed."
19,A7,Item 16,Icon tile presets with search,L,"server.js, admin/index.html","New DB table: isel_presets (id UUID PK, name TEXT UNIQUE, items JSONB, created_at). New API routes: GET /api/admin/isel-presets (list), POST (create/upsert by name), DELETE /:id. Admin modal: Presets row above items list — Save as preset button (prompts name → POST) + Load preset button (opens inline searchable list; select to replace _iselItems)."
